bot\jng,Xin Zhao,Jarvan IV,Vi,Wukong,Pantheon,Nocturne,Dr. Mundo,Lee Sin,Naafiri,Aatrox,Skarner,Trundle,Ambessa,Zaahen,Qiyana,Jayce,Sejuani,Malphite,Viego,Maokai,Poppy,Kha'Zix,Jax,Nidalee,Olaf,Rek'Sai,Sylas,Volibear,Zyra,Shen
Yunara,-0.2506,+0.3284,-0.2039,-0.5875,+0.1932,+0.4571,+0.0259,-0.2367,+0.4284,-0.1901,+0.2634,-0.0779,+0.6648,+0.0396,+0.1268,+0.3020,+0.3491,+0.6532,+0.6338,-0.5550,+0.6469,+0.5484,+0.3494,+0.6025,+0.8372,+0.5492,+0.5705,+0.6649,+0.2767,+0.5634
Ezreal,+0.2308,+0.5199,-0.2161,-0.0299,+0.2053,-0.0362,+0.2156,-0.0550,-0.1274,+0.0720,+0.1335,-0.1082,+0.1855,+0.0892,+0.0734,+0.2440,-0.2800,+0.3324,+0.1253,+0.1154,+0.5230,+0.1021,+0.2858,+0.2785,+0.3899,+0.2060,+0.2266,+0.7120,+0.5362,+0.7152
Corki,+0.0144,+0.8717,+0.2104,-0.1695,+0.5193,+0.3591,+0.0458,-0.0328,-0.0702,-0.2029,+0.3478,-0.0415,+0.4400,-0.0032,+0.2346,+0.2746,-0.2552,+0.4767,+0.1349,+0.2451,+0.1467,+0.4438,+0.2414,+0.6842,+0.7817,+0.1783,+0.3902,+0.3119,+0.6124,+0.4810
Ashe,-0.1133,-0.3668,+0.0451,-0.3074,-0.1517,-0.1995,-0.2176,-0.2500,-0.1547,+0.1038,+0.1594,-0.0552,-0.2875,-0.0899,-0.0342,+0.1601,+0.4004,-0.1820,-0.0545,+0.0771,+1.0596,+0.4834,+0.2080,-0.0677,-0.7363,+0.3911,-0.0191,+0.6474,+0.4883,+0.2984
Varus,-0.3465,-0.7231,-0.3865,-0.6366,+0.1612,-0.8023,+0.2166,-0.1366,-0.7041,+0.0066,-0.3440,-0.6513,-0.5155,-0.1475,-0.1030,-0.3970,-0.3201,+0.0080,-0.2650,+0.3009,+0.0449,+0.4224,+0.0149,+0.6037,+0.0392,-0.0673,-0.1853,+0.5436,+0.6680,+0.4044
Sivir,+0.0112,-0.2465,-0.0125,-0.0623,+0.4593,-0.0148,+0.6560,+0.2075,-0.5166,+0.0822,-0.2110,+0.0949,+0.3004,+0.3748,+0.1602,+0.2406,+0.0751,+0.4461,+0.4611,+0.2475,+0.1166,+0.3513,+0.5536,+0.6456,+0.7421,+0.9245,-0.0221,+0.6592,+0.4094,+0.3745
Jhin,+0.2533,+0.1895,+0.3165,-0.4482,+0.2867,+0.2589,-0.5860,+0.3423,+0.3065,-0.1442,+0.0520,+0.3954,+0.3458,+0.5297,+0.1075,+0.2809,-0.3092,-0.3723,+0.3192,+0.9187,-0.4269,+0.2641,+0.5277,+0.1464,+0.3509,+0.2619,+0.2247,+0.4790,+0.2234,+0.1979
Caitlyn,+0.1191,+0.4244,-0.5288,+0.3063,+0.2721,-0.2687,+0.6506,+0.3894,-0.3847,-0.1312,-0.0376,-0.3618,-0.0068,+0.3520,-0.6097,-0.1005,+0.2285,-0.0518,+0.4056,+0.0990,+0.4165,+0.4808,+0.1757,+0.5377,+0.0979,+0.1462,+0.3197,+0.3808,+0.4905,+0.0242
Lucian,-0.0540,+0.4370,-0.0496,-0.2586,+0.1352,-0.1387,+0.2028,-0.2529,-0.1616,+0.1817,+0.1362,+0.0935,+0.2693,+0.2284,+0.0020,+0.3991,+0.6459,+0.4619,-0.0491,+0.0056,+0.5661,-0.0947,+0.2642,+0.4442,+0.8750,+0.3889,+0.1080,+0.7007,+0.3941,+0.3656
Kai'Sa,-0.2937,+0.5125,-0.5765,-0.1697,+0.0547,+0.4335,+0.4821,+0.1447,-0.2423,+0.3665,+0.5131,+0.3123,+0.9430,-0.1310,+0.5303,+0.3243,+0.3244,+0.4934,+0.1381,+0.6116,-0.2246,-0.5389,+0.4533,+0.5101,+0.6994,+0.3787,+0.2450,+0.3123,+0.3890,+0.1157
Aphelios,-0.3367,-0.2441,-0.1579,-0.4183,+0.1690,-0.1618,+0.3037,+0.6715,-0.3854,+0.4189,-0.1779,-0.3712,-0.0308,-0.1388,-0.0896,+0.0376,+0.3575,+0.1468,-0.2697,-0.2513,+0.4735,-0.0393,-0.1737,-0.1244,-0.0851,-0.3489,+0.1591,+0.2266,+0.3448,+0.1691
Miss Fortune,-0.3326,-0.1891,+0.1309,-0.3950,+0.3581,-0.2135,+0.2714,+0.0912,+0.1127,-0.1471,-0.2211,-0.5001,+0.1137,+0.0262,+0.0353,+0.2689,+0.0692,-0.0143,+0.2399,+0.1751,-0.2421,+0.7228,+0.1597,+0.0594,+0.3858,+0.1381,+0.0776,+0.1006,+0.3997,+0.2908
Xayah,-0.1781,-0.3581,+1.0578,+0.2560,-0.4869,-0.0552,+0.0730,+0.3702,-0.3223,+0.3662,+0.3731,+0.2343,+0.3751,+0.2271,+0.9502,+0.0857,+0.2201,+0.3361,-0.0477,-0.1265,-0.0981,-0.0583,+0.1663,+0.0559,+0.1153,+0.2095,-0.0980,+0.2576,+0.3890,+0.3847
Jinx,-0.2846,-0.4278,-1.0605,-0.0570,-0.0602,-0.3558,+0.7162,-0.0728,-0.0576,-0.1766,+0.4102,-0.5276,+0.1671,+0.2409,+0.4233,+0.0368,-0.1144,+0.4533,+0.6987,+1.0862,+0.8339,+0.1317,+0.4484,+0.3693,+0.3704,+0.1188,-0.1721,+0.6135,+0.6751,+0.3656
Kalista,-0.1506,+0.2383,+0.0820,-0.0396,+0.1594,+0.2486,-0.6662,+0.1005,+0.5278,-0.0653,-0.6589,-0.0338,+0.0209,+0.1507,+0.2261,+0.2029,-0.1839,+0.2942,-0.0148,-0.1588,-0.0603,+0.3496,-0.1999,+0.6152,+0.0882,-0.1006,+0.4700,+0.1943,+0.1046,+0.0789
Zeri,+0.4340,+0.4889,-0.5969,+0.0589,+0.1480,+0.3830,+0.2696,-0.2540,-0.1062,-0.1604,+0.0457,-0.3897,+0.4636,-0.0399,+0.1029,+0.1459,-0.2431,+0.2104,+0.3068,-0.2542,-0.0300,-0.0050,-0.1336,+0.2006,+0.3897,+0.2255,+0.4253,+0.1767,+0.1592,-0.0200
Smolder,-0.4239,+0.3647,-0.4516,+0.3201,-0.9612,-0.3335,+0.3770,-0.3762,+0.3735,-0.3986,-0.1590,+0.3636,-0.0810,-0.2944,-0.1469,+0.2148,+0.2276,-0.1294,-0.3985,-0.4719,-0.2757,+0.2064,+0.0572,+0.3046,+0.0381,-0.5923,-0.1253,-0.0771,-0.7348,-0.0182
Tristana,-0.3241,+0.1297,+0.2491,-0.5393,+0.1699,-0.2993,+0.0899,+0.2035,+0.0681,-0.2196,-0.5878,-0.5617,-0.3256,-0.3728,+0.7133,-0.0984,+0.2171,+0.3307,-0.7004,+0.0803,-0.3100,+0.0524,-0.4364,+0.0347,-0.4492,-0.1260,-0.0402,+0.2226,+0.2727,+0.1370
Ziggs,+0.0781,-0.6430,-0.9424,-0.2223,-0.3283,-0.2874,-0.7072,-0.9320,+0.3712,-0.6151,-0.3609,+0.0478,-0.2721,-0.1796,-0.1731,-0.3457,-0.5369,+0.2116,-0.2407,+0.1998,+0.3285,+0.3110,+0.3766,+0.1001,+0.2564,+0.1955,+0.1426,+0.3909,+0.1143,-0.0821
Mel,-0.1034,-0.9210,-0.2171,-0.3460,-0.1420,-0.5808,-0.1151,-0.0025,-0.2195,-0.0209,-0.5083,-0.0483,-0.3157,-0.3969,+0.2067,-0.0177,-0.1559,+0.1310,+0.0016,+0.3796,-0.1779,+0.4621,-0.0662,+0.0851,+0.1892,-0.1768,-0.4874,+0.4536,+0.1351,+0.5698
Senna,-0.2554,-0.1593,-0.6356,-0.6251,-0.0495,-0.3977,-0.0826,-0.4530,+0.0181,-0.3667,-0.5107,-0.3253,-0.5041,-0.1844,-0.1659,-0.1011,-0.4482,-0.1443,+0.0784,-0.2646,+0.4369,+0.1701,-0.2073,+0.1016,+0.0537,-0.1318,+0.0068,+0.5513,+0.0199,-0.2048
Draven,-0.7035,-0.7181,-0.4889,-0.3189,-0.9693,-0.5763,-0.3872,-0.5036,-0.1157,-0.8477,-1.0331,+0.1196,-0.1512,-0.1088,+0.3866,-0.1781,-0.5555,-0.1242,-0.1685,-0.4043,-0.0113,+0.0886,-0.0528,+0.0805,-0.0665,-0.1486,-0.2155,-0.1733,-0.2795,-0.2646
Kog'Maw,-0.5987,-0.9102,-0.7877,-0.4315,-0.9301,-0.6799,-0.3935,-0.3838,-0.9021,-0.7154,-0.3159,+0.3926,-0.2164,-0.3487,-0.4636,-0.4553,-0.3575,-0.7759,-0.0753,-0.3653,-0.0891,+0.1720,-0.1503,-0.3461,-0.4527,-0.2888,-0.2207,-0.5439,-0.4673,-0.7424
Vayne,-0.2816,-0.4968,-1.0682,-0.0112,-0.4131,-0.2942,+0.0594,-0.2040,-0.3133,-0.0855,-0.6793,-0.0393,-0.4463,-0.0628,-0.1038,-0.4132,+0.1570,+0.0667,+0.0845,-0.3458,+0.1640,-0.0446,-0.1737,+0.1680,+0.0169,+0.2236,+0.0917,-0.1488,-0.1277,-0.3266
