mid\bot,Yunara,Ezreal,Corki,Ashe,Varus,Sivir,Jhin,Caitlyn,Lucian,Kai'Sa,Aphelios,Miss Fortune,Xayah,Jinx,Kalista,Zeri,Smolder,Tristana,Ziggs,Mel,Senna,Draven,Kog'Maw,Vayne,Seraphine,Yasuo,Twitch,Hwei,Nilah
Ryze,+0.2444,-0.3436,-0.2111,-0.0442,+0.1305,-0.1424,-0.3140,-0.1816,-0.1296,+0.0375,-0.0502,-0.2709,-0.0843,-0.3898,+0.2124,+0.1355,+0.3256,+0.0047,+0.2512,+0.4041,+0.2365,+0.2587,+0.5331,+0.7007,+0.4180,+0.5897,+0.8508,+0.1305,+0.7294
Ahri,+0.4621,+0.1128,+0.2155,+0.2775,+0.4905,+0.0288,+0.0729,+0.4386,+0.0708,-0.2881,+0.2085,+0.1641,-0.3946,+0.2017,-0.0040,+0.0909,+0.4252,-0.0680,+0.3405,-0.2427,+0.2564,+0.2926,+0.2681,+0.4828,+0.3947,+0.4561,+0.5400,+0.5652,+0.6004
Aurora,+0.3412,-0.1724,-0.1138,-0.0058,+0.2270,-0.3230,-0.2431,+0.1785,+0.1358,-0.3364,-0.0463,-0.0508,-0.1931,-0.0101,+0.0743,-0.2092,+0.2437,-0.0836,+0.2246,+0.1161,+0.1297,+0.2918,+0.3882,+0.5799,+0.3798,+0.4658,+0.6201,+0.3495,+0.7033
Azir,+0.2318,-0.4565,-0.2435,-0.2131,-0.1338,-0.3639,-0.4592,-0.1197,-0.3156,-0.4165,+0.0581,-0.3671,+0.0457,-0.2848,+0.0804,+0.0657,-0.0854,-0.3066,-0.5726,+0.3067,+0.1525,+0.2982,+0.4311,+0.6671,+0.3293,+0.6888,+0.6949,+0.0654,+0.6414
Orianna,+0.2757,-0.4025,-0.1685,+0.0575,+0.3715,-0.3398,-0.2514,-0.0974,-0.3448,-0.3029,+0.1233,-0.1385,-0.5239,-0.2094,+0.2771,-0.0866,+0.2679,-0.0246,+0.0891,+0.4343,+0.2630,+0.5245,+0.3881,+0.6013,+0.3937,+0.6657,+0.7836,+0.3692,+0.7968
Viktor,+0.4547,-0.0377,+0.1821,+0.1057,+0.1458,+0.0125,-0.2009,-0.1064,+0.2766,-0.1818,+0.1508,-0.2214,+0.1625,-0.0298,+0.3687,-0.0228,+0.0723,-0.0560,-0.0166,+0.3567,+0.1481,+0.3833,+0.3741,+0.5786,+0.2190,+0.3115,+0.3779,+0.0266,+0.4860
Taliyah,+0.3509,-0.6070,-0.0883,-0.1833,-0.0327,-0.3017,-0.3252,+0.0252,-0.0778,-0.2275,+0.1600,-0.1779,-0.1377,-0.1656,+0.4642,-0.0731,+0.2346,+0.0326,-0.0921,+0.2656,-0.0888,+0.3587,+0.4028,+0.6932,+0.2860,+0.6418,+0.4910,+0.1025,+0.5650
Akali,+0.3266,+0.0253,-0.0596,+0.0539,+0.3378,-0.0338,+0.1640,+0.1448,+0.0803,-0.3948,+0.2264,+0.4410,-0.5397,+0.1584,-0.0223,-0.0088,+0.1189,+0.0123,+0.2625,+0.4179,+0.3254,+0.1296,+0.1863,+0.3293,+0.3342,+0.4664,+0.3786,+0.4205,+0.3216
Annie,+0.1858,-0.4074,-0.2334,-0.1451,-0.1635,-0.2504,-0.4258,-0.0039,-0.0162,-0.1550,-0.0446,-0.2724,-0.2594,-0.1201,+0.0523,-0.0342,+0.1045,-0.1329,+0.1259,+0.1592,-0.0685,+0.1962,+0.4451,+0.3952,+0.2789,+0.3038,+0.4524,-0.0361,+0.3792
Syndra,+0.0733,-0.1781,+0.3226,-0.0829,+0.1435,-0.1056,-0.1150,+0.1151,+0.0009,-0.3417,+0.1146,-0.2928,+0.1782,-0.1884,+0.0237,-0.0260,-0.0023,+0.1741,-0.1508,+0.2410,+0.1287,+0.2425,+0.2250,+0.3842,+0.1753,+0.2732,+0.3725,+0.4780,+0.3933
Galio,+0.2737,-0.1459,-0.0787,+0.1323,+0.2058,-0.3159,-0.0450,-0.3587,+0.0626,+0.1808,+0.0245,+0.1281,-0.3836,-0.2301,+0.0430,+0.0375,-0.3744,-0.1424,+0.0664,+0.4200,+0.0325,+0.2407,+0.2232,+0.1180,+0.3357,+0.4271,+0.4362,+0.1368,+0.5399
Anivia,-0.3675,-0.7987,-0.7113,-0.6116,-1.1486,-0.1598,-0.5701,-0.2455,-0.4588,-0.4397,-0.0515,-0.7241,-0.1703,-0.1962,-0.2802,+0.0342,-0.1095,-0.3998,-0.4547,-0.1793,-0.1134,-0.0301,+0.0839,+0.1573,-0.0397,-0.0079,+0.1326,-0.2358,+0.1511
Cassiopeia,-0.0492,-0.4562,-0.0427,-0.4097,-0.4890,-0.2387,-0.3706,-0.3434,-0.0805,+0.0138,-0.2456,-0.3076,+0.0094,-0.2911,-0.0043,+0.0327,-0.0876,-0.0007,-0.0541,-0.0328,-0.1459,-0.0020,+0.0137,+0.0201,+0.0048,+0.1233,+0.1489,-0.1451,+0.1547
Yone,+0.3777,-0.2500,-0.1894,-0.0886,+0.0838,-0.2251,-0.0546,+0.1012,-0.2358,-0.2561,+0.2600,-0.1034,-0.3933,+0.0514,-0.1575,-0.1777,-0.0615,-0.0751,+0.1961,+0.0805,+0.0837,+0.2168,+0.3307,+0.5107,+0.3503,+0.4507,+0.4976,+0.3186,+0.5118
LeBlanc,+0.1584,-0.1495,-0.0042,-0.3094,+0.0967,-0.2000,-0.0325,+0.1178,+0.1177,-0.3495,-0.0696,-0.0144,-0.3340,-0.0577,+0.0417,-0.0956,+0.0568,-0.1038,+0.2414,+0.0336,-0.1434,+0.0755,+0.2300,+0.2500,+0.1792,+0.2047,+0.2990,+0.2200,+0.2005
Mel,-0.1061,-0.1601,-0.2413,+0.2370,+0.1794,-0.4982,-0.0322,+0.0179,-0.0804,-0.3230,+0.1545,-0.2408,-0.1192,+0.0403,-0.1035,-0.0018,+0.1459,-0.1835,+0.1234,+0.0106,+0.1116,-0.0476,+0.2246,+0.1353,+0.5176,+0.0944,+0.2607,+0.1745,+0.1743
Sylas,+0.1322,-0.0358,-0.1941,+0.5707,+0.6453,-0.0155,+0.0086,+0.0696,-0.0490,+0.0120,-0.0375,+0.0732,-0.1056,+0.0213,+0.0437,+0.1179,-0.0750,-0.1128,+0.0814,+0.1728,+0.0547,-0.0287,-0.0172,+0.0636,+0.3595,+0.1402,+0.2156,+0.0552,+0.1457
Hwei,+0.1132,-0.3023,+0.0335,+0.1480,+0.3252,-0.0569,-0.2355,+0.1994,+0.0023,-0.0902,+0.1564,-0.1714,+0.2549,-0.0009,+0.1307,-0.0746,+0.0015,+0.3606,+0.1461,+0.0143,-0.0523,+0.2248,+0.1300,+0.3086,+0.1958,+0.1628,+0.2203,+0.1643,+0.2996
Twisted Fate,+0.0334,-0.5110,-0.4500,-0.2558,-0.4583,-0.3885,-0.5848,-0.0514,-0.1428,-0.4271,-0.0345,-0.3707,-0.1136,-0.1055,-0.3209,+0.0240,+0.0149,-0.2346,+0.0215,-0.1854,+0.0683,-0.0355,+0.1503,+0.1934,+0.0567,-0.0461,+0.1346,+0.0007,+0.1301
Zoe,-0.1480,-0.3929,-0.3709,-0.1596,-0.4008,-0.4273,-0.4811,-0.0346,-0.1851,-0.2681,-0.0705,-0.5362,-0.1145,-0.0001,-0.0077,-0.1464,-0.0155,-0.2080,-0.1611,-0.1425,-0.0326,-0.0539,+0.2083,+0.2280,+0.1582,+0.0757,+0.1269,+0.0632,+0.1717
Lissandra,-0.3183,-0.4048,-0.6134,-0.5211,-0.8336,-0.2920,-0.4990,-0.4114,-0.3134,-0.2509,-0.2260,-0.4761,-0.1603,-0.1854,-0.2329,+0.0735,+0.0195,-0.2379,-0.0617,-0.2088,-0.1489,-0.1282,+0.0478,-0.0077,-0.1144,-0.1153,-0.0857,-0.3115,-0.1163
Aurelion Sol,-0.3249,-0.5882,-0.4949,-0.3663,-0.4467,-0.2214,-0.3971,-0.1530,-0.3667,-0.3445,-0.0734,-0.4228,-0.1020,-0.0857,-0.2310,+0.0482,-0.0909,-0.1913,-0.1579,+0.0445,+0.1112,-0.0957,+0.0555,+0.1484,+0.0397,+0.0432,+0.0914,+0.0410,+0.1792
Jayce,-0.0501,-0.6944,-0.5705,-0.6401,-0.3457,-0.3379,-0.6166,-0.2517,-0.3246,-0.4641,-0.1935,-0.7638,-0.0721,-0.2029,-0.1575,-0.2467,+0.0659,-0.3131,+0.0085,-0.0298,+0.0678,+0.0099,+0.3558,+0.4822,+0.1717,+0.3201,+0.3784,+0.1425,+0.3329
Ziggs,-0.1955,-0.5506,-0.5121,-0.0065,+0.0354,-0.7043,-0.5933,+0.0783,-0.2475,-0.7088,+0.2016,-0.3432,+0.0137,+0.2216,+0.0247,-0.1927,+0.1839,-0.2056,-0.0658,-0.0705,+0.0463,+0.2059,+0.1575,+0.1951,+0.1252,+0.2254,+0.2719,-0.0144,+0.3028
Yasuo,-0.4460,-0.3600,-0.5799,-0.3385,-0.5266,-0.3893,-0.1317,-0.0634,-0.3393,-0.3779,-0.1753,-0.2951,-0.2308,-0.0549,-0.1767,+0.0078,-0.0029,-0.1724,-0.1419,-0.0581,-0.0589,+0.0044,+0.0164,+0.0134,+0.0304,-0.0243,-0.0480,-0.0755,-0.0841
Swain,-0.4408,-0.5451,-0.5736,-0.4597,-0.7772,-0.3833,-0.3724,-0.2839,-0.4297,-0.1885,-0.2309,-0.4600,-0.1751,-0.3112,-0.2332,-0.1152,-0.1416,-0.2292,-0.2280,-0.2209,-0.2440,-0.1668,-0.0301,-0.0206,-0.0772,-0.0149,+0.0011,-0.1840,+0.0628
Sion,-0.0923,-0.3387,-0.4558,-0.3192,-0.4198,-0.4904,-0.1999,-0.1771,-0.3142,-0.4282,-0.2643,-0.4101,-0.2831,-0.2768,-0.0168,-0.1409,-0.1362,-0.2390,-0.0146,+0.1234,+0.0429,+0.1655,+0.2144,+0.0887,+0.0925,+0.3465,+0.3832,+0.1307,+0.3958
Vladimir,-0.4305,-0.6636,-0.6070,-0.4398,-0.7633,-0.4156,-0.3217,-0.3522,-0.3027,-0.2293,-0.0660,-0.3118,-0.3610,-0.2993,-0.2439,-0.0634,+0.0250,-0.1524,-0.2369,-0.0188,-0.1267,-0.0651,+0.0031,+0.1052,-0.0540,+0.1006,+0.1382,-0.1537,+0.0576
Malzahar,-0.4699,-0.7941,-0.8848,-0.7634,-1.0841,-0.3815,-0.5510,-0.4404,-0.5532,-0.4666,-0.1671,-0.8384,-0.2945,-0.3099,-0.4116,-0.2262,+0.0227,-0.3950,-0.2565,-0.1983,-0.1284,-0.1194,+0.0732,+0.1679,-0.0863,+0.1080,+0.1291,-0.1292,+0.1106
Tristana,+0.2660,-0.1574,-0.3048,-0.2001,-0.0764,-0.3165,-0.0940,-0.0301,-0.1232,+0.1452,-0.0600,+0.0322,-0.3504,+0.1376,-0.0584,+0.1346,+0.0192,-0.0915,+0.0555,+0.1168,+0.2789,-0.0698,+0.2065,+0.1677,+0.1568,+0.1563,+0.2274,-0.0927,+0.1785
Veigar,-0.5391,-0.8793,-0.6971,-0.7782,-0.9490,-0.5443,-0.6170,-0.3322,-0.4705,-0.3122,-0.1512,-0.6447,-0.2194,-0.2236,-0.3833,-0.0321,+0.0451,-0.2769,-0.3047,-0.2765,-0.2524,-0.2362,+0.0680,+0.1028,-0.1090,+0.0250,-0.0212,-0.2479,+0.0342
Xerath,-0.4449,-0.6409,-0.6832,-0.4642,-0.7400,-0.2419,-0.5300,-0.2025,-0.4873,-0.5260,-0.2101,-0.5284,-0.1626,+0.1338,-0.3995,-0.1120,-0.0113,-0.2739,-0.2131,-0.0753,-0.1743,-0.2126,-0.0121,+0.1165,-0.0825,+0.0411,+0.0845,+0.0305,+0.0701
Zed,-0.3412,-0.7670,-0.6240,-0.5330,-0.6093,-0.5645,-0.5184,-0.1896,-0.4442,-0.4798,-0.2233,-0.5887,-0.2801,-0.1490,-0.2614,-0.0945,+0.1353,-0.1489,-0.0223,-0.1140,-0.0012,+0.0447,+0.0624,+0.1927,-0.0362,+0.0295,+0.1287,-0.0351,+0.1896
Ekko,-0.4915,-0.6282,-0.6263,-0.5965,-0.8432,-0.3784,-0.4456,-0.2559,-0.4492,-0.4759,-0.1811,-0.5884,-0.3518,-0.2030,-0.4292,-0.2126,-0.1018,-0.3065,-0.2249,-0.2061,-0.1926,-0.1732,+0.0432,+0.0333,-0.0682,-0.0057,+0.0852,-0.1356,+0.0503
Irelia,-0.4029,-0.4593,-0.6489,-0.5337,-0.7573,-0.3225,-0.4865,-0.4005,-0.4044,-0.3740,-0.2326,-0.5336,-0.4451,-0.2188,-0.2186,-0.0995,-0.0394,-0.2762,-0.1706,-0.0792,-0.1176,-0.1139,+0.1425,+0.1639,-0.0899,+0.1017,+0.1185,-0.1600,+0.0476
Kassadin,-0.5074,-0.7427,-0.7929,-0.7005,-1.0535,-0.3559,-0.5342,-0.3452,-0.5032,-0.3080,-0.1376,-0.5950,-0.3981,-0.2110,-0.3709,+0.0294,-0.0320,-0.3660,-0.2027,-0.1655,-0.1134,-0.1333,+0.0058,+0.0686,-0.0406,+0.0312,+0.0798,-0.1474,+0.1030
Vex,-0.4907,-0.6857,-0.7873,-0.8011,-0.9317,-0.4559,-0.5699,-0.4307,-0.5111,-0.3357,-0.2676,-0.6064,-0.3213,-0.3216,-0.1907,-0.2243,-0.0603,-0.1464,-0.2761,-0.2350,-0.0846,-0.1260,+0.0373,+0.0480,-0.2065,+0.0918,+0.0223,-0.2144,+0.0224
Corki,+0.4065,-0.6018,-0.2882,-0.4480,-0.1595,-0.5906,-0.6222,-0.3992,-0.2934,-0.4957,-0.0869,-0.4452,-0.4109,-0.2823,+0.0769,-0.1472,-0.0928,-0.0049,+0.0780,+0.1789,+0.1752,+0.0044,+0.1589,+0.4414,+0.1455,+0.5768,+0.5946,+0.2278,+0.6560
Lux,-0.6215,-0.8643,-0.8712,-0.7064,-1.1000,-0.5663,-0.6170,-0.3766,-0.5361,-0.6344,-0.2600,-0.6254,-0.4514,-0.2962,-0.3232,-0.2248,-0.0556,-0.4474,-0.2779,-0.1676,-0.2026,-0.1591,+0.0392,+0.1489,-0.1058,-0.0346,+0.0100,-0.1986,-0.0024
Smolder,+0.0048,-0.3172,-0.2581,-0.4161,-0.5668,-0.1988,-0.5026,-0.2486,-0.3363,-0.3192,-0.1569,-0.2723,-0.0643,-0.1770,-0.1927,-0.1355,-0.0091,-0.1933,-0.2546,-0.1192,+0.2730,-0.0269,+0.0608,+0.0936,-0.1268,+0.0371,+0.0350,-0.0679,+0.0173
Morgana,-0.4365,-0.8675,-0.7739,-0.7120,-1.0933,-0.4840,-0.8239,-0.4880,-0.6208,-0.4400,-0.2515,-0.7897,-0.2866,-0.3935,-0.3837,-0.2314,-0.0418,-0.2535,-0.3912,-0.2479,-0.2805,-0.1696,+0.1055,+0.1022,-0.1981,+0.0490,+0.0668,-0.1779,+0.0637
Neeko,-0.1143,-0.6625,-0.6132,-0.3478,-0.4217,-0.4901,-0.6796,-0.2663,-0.3499,-0.4478,-0.0102,-0.4733,-0.3306,-0.1186,+0.2579,-0.2336,+0.1662,-0.1479,-0.1434,+0.0148,-0.0954,-0.0061,+0.2920,+0.3748,-0.0322,+0.2945,+0.4317,+0.1771,+0.4548
Renekton,-0.1384,-0.4388,-0.4346,-0.3578,-0.4803,-0.3817,-0.4326,-0.2739,-0.3286,-0.2767,-0.1650,-0.3619,-0.2264,-0.2740,-0.1309,+0.0417,+0.0353,-0.1389,-0.1340,+0.0607,+0.0034,+0.1447,+0.1025,+0.2023,+0.1343,+0.4868,+0.2876,-0.0103,+0.3612
Karma,-0.2279,-0.4543,-0.5582,-0.1921,-0.4229,-0.3407,-0.6015,+0.1443,-0.0194,-0.4776,-0.0196,-0.5968,+0.0187,+0.0428,-0.0531,-0.0585,+0.1881,-0.2835,+0.0619,-0.1908,-0.0170,+0.1335,+0.2518,+0.2928,+0.0004,+0.2322,+0.3241,+0.0953,+0.4134
Ambessa,-0.1873,-0.5625,-0.6696,-0.2258,-0.3335,-0.4583,-0.4453,-0.2078,-0.3468,-0.5041,-0.0439,-0.3601,-0.5187,-0.2613,-0.0743,-0.2235,+0.0799,-0.1075,-0.0116,+0.1029,+0.0253,+0.0743,+0.2065,+0.4161,+0.1823,+0.4520,+0.5765,+0.2009,+0.4232
Cho'Gath,-0.3781,-0.6681,-0.6044,-0.6090,-0.8924,-0.5137,-0.5739,-0.3364,-0.4808,-0.4463,-0.2036,-0.5578,-0.3183,-0.2624,-0.1820,-0.1547,-0.0697,-0.2356,-0.2669,-0.2014,-0.0707,-0.0778,+0.1417,+0.1602,-0.1070,+0.0826,+0.0674,-0.1122,+0.1378
