champ,slot,picks,bans
Naafiri,6,11,0
Naafiri,7,20,0
Naafiri,8,32,0
Naafiri,9,32,0
Naafiri,10,20,0
Naafiri,11,40,0
Naafiri,12,20,0
Naafiri,13,20,0
Naafiri,14,40,0
Naafiri,15,23,0
Naafiri,16,0,43
Naafiri,17,0,34
Naafiri,18,0,41
Naafiri,19,0,28
Nami,0,0,4
Nami,1,0,7
Nami,2,0,22
Nami,3,0,14
Nami,4,0,24
Nami,5,0,20
Nami,6,31,0
Nami,7,37,0
Nami,8,76,0
Nami,9,76,0
Nami,10,37,0
Nami,11,49,0
Nami,12,116,0
Nami,13,116,0
Nami,14,49,0
Nami,15,123,0
Nami,16,0,56
Nami,17,0,54
Nami,18,0,52
Nami,19,0,50
Nautilus,0,0,136
Nautilus,1,0,44
Nautilus,2,0,108
Nautilus,3,0,56
Nautilus,4,0,124
Nautilus,5,0,72
Nautilus,6,10,0
Nautilus,7,22,0
Nautilus,8,49,0
Nautilus,9,49,0
Nautilus,10,22,0
Nautilus,11,61,0
Nautilus,12,114,0
Nautilus,13,114,0
Nautilus,14,61,0
Nautilus,15,138,0
Nautilus,16,0,165
Nautilus,17,0,158
Nautilus,18,0,121
Nautilus,19,0,104
Neeko,0,0,120
Neeko,1,0,98
Neeko,2,0,93
Neeko,3,0,88
Neeko,4,0,82
Neeko,5,0,95
Neeko,6,81,0
Neeko,7,70,0
Neeko,8,72,0
Neeko,9,72,0
Neeko,10,70,0
Neeko,11,62,0
Neeko,12,102,0
Neeko,13,102,0
Neeko,14,62,0
Neeko,15,80,0
Neeko,16,0,77
Neeko,17,0,73
Neeko,18,0,91
Neeko,19,0,73
Nidalee,0,0,1
Nidalee,1,0,3
Nidalee,2,0,6
Nidalee,4,0,2
Nidalee,5,0,6
Nidalee,6,1,0
Nidalee,7,2,0
Nidalee,8,8,0
Nidalee,9,8,0
Nidalee,10,2,0
Nidalee,11,3,0
Nidalee,12,2,0
Nidalee,13,2,0
Nidalee,14,3,0
Nidalee,15,2,0
Nidalee,16,0,2
Nidalee,17,0,1
Nidalee,18,0,1
Nidalee,19,0,2
Nocturne,0,0,129
Nocturne,1,0,116
Nocturne,2,0,161
Nocturne,3,0,150
Nocturne,4,0,142
Nocturne,5,0,118
Nocturne,6,57,0
Nocturne,7,79,0
Nocturne,8,102,0
Nocturne,9,102,0
Nocturne,10,79,0
Nocturne,11,90,0
Nocturne,12,31,0
Nocturne,13,31,0
Nocturne,14,90,0
Nocturne,15,31,0
Nocturne,16,0,56
Nocturne,17,0,65
Nocturne,18,0,57
Nocturne,19,0,42
Olaf,0,0,13
Olaf,1,0,11
Olaf,2,0,7
Olaf,3,0,8
Olaf,4,0,8
Olaf,5,0,3
Olaf,6,2,0
Olaf,7,1,0
Olaf,8,2,0
Olaf,9,2,0
Olaf,10,1,0
Olaf,11,2,0
Olaf,12,5,0
Olaf,13,5,0
Olaf,14,2,0
Olaf,15,5,0
Olaf,16,0,12
Olaf,17,0,17
Olaf,18,0,12
Olaf,19,0,23
Orianna,0,0,397
Orianna,1,0,634
Orianna,2,0,285
Orianna,3,0,392
Orianna,4,0,212
Orianna,5,0,282
Orianna,6,208,0
Orianna,7,172,0
Orianna,8,34,0
Orianna,9,34,0
Orianna,10,172,0
Orianna,11,33,0
Orianna,12,38,0
Orianna,13,38,0
Orianna,14,33,0
Orianna,15,37,0
Orianna,16,0,13
Orianna,17,0,21
Orianna,18,0,16
Orianna,19,0,17
Ornn,0,0,5
Ornn,1,0,7
Ornn,2,0,2
Ornn,3,0,4
Ornn,4,0,7
Ornn,5,0,6
Ornn,6,10,0
Ornn,7,19,0
Ornn,8,9,0
Ornn,9,9,0
Ornn,10,19,0
Ornn,11,15,0
Ornn,12,26,0
Ornn,13,26,0
Ornn,14,15,0
Ornn,15,24,0
Ornn,16,0,37
Ornn,17,0,26
Ornn,18,0,37
Ornn,19,0,41
Pantheon,0,0,99
Pantheon,1,0,91
Pantheon,2,0,139
Pantheon,3,0,143
Pantheon,4,0,131
Pantheon,5,0,153
Pantheon,6,170,0
Pantheon,7,128,0
Pantheon,8,137,0
Pantheon,9,137,0
Pantheon,10,128,0
Pantheon,11,121,0
Pantheon,12,43,0
Pantheon,13,43,0
Pantheon,14,121,0
Pantheon,15,27,0
Pantheon,16,0,37
Pantheon,17,0,35
Pantheon,18,0,40
Pantheon,19,0,32
Poppy,0,0,25
Poppy,1,0,46
Poppy,2,0,30
Poppy,3,0,38
Poppy,4,0,46
Poppy,5,0,38
Poppy,6,1,0
Poppy,7,1,0
Poppy,8,8,0
Poppy,9,8,0
Poppy,10,1,0
Poppy,11,10,0
Poppy,12,13,0
Poppy,13,13,0
Poppy,14,10,0
Poppy,15,16,0
Poppy,16,0,48
Poppy,17,0,45
Poppy,18,0,48
Poppy,19,0,38
Pyke,0,0,19
Pyke,1,0,17
Pyke,2,0,9
Pyke,3,0,5
Pyke,4,0,13
Pyke,5,0,10
Pyke,8,1,0
Pyke,9,1,0
Pyke,11,8,0
Pyke,12,7,0
Pyke,13,7,0
Pyke,14,8,0
Pyke,15,25,0
Pyke,16,0,9
Pyke,17,0,21
Pyke,18,0,15
Pyke,19,0,16
Qiyana,0,0,32
Qiyana,1,0,19
Qiyana,2,0,22
Qiyana,3,0,13
Qiyana,4,0,19
Qiyana,5,0,16
Qiyana,6,7,0
Qiyana,7,13,0
Qiyana,8,22,0
Qiyana,9,22,0
Qiyana,10,13,0
Qiyana,11,15,0
Qiyana,12,10,0
Qiyana,13,10,0
Qiyana,14,15,0
Qiyana,15,12,0
Qiyana,16,0,16
Qiyana,17,0,11
Qiyana,18,0,18
Qiyana,19,0,17
Rakan,3,0,1
Rakan,5,0,2
Rakan,6,4,0
Rakan,7,2,0
Rakan,8,17,0
Rakan,9,17,0
Rakan,10,2,0
Rakan,11,11,0
Rakan,12,53,0
Rakan,13,53,0
Rakan,14,11,0
Rakan,15,53,0
Rakan,16,0,38
Rakan,17,0,51
Rakan,18,0,56
Rakan,19,0,49
Rek'Sai,0,0,3
Rek'Sai,2,0,1
Rek'Sai,3,0,1
Rek'Sai,4,0,1
Rek'Sai,6,2,0
Rek'Sai,7,1,0
Rek'Sai,8,4,0
Rek'Sai,9,4,0
Rek'Sai,10,1,0
Rek'Sai,11,6,0
Rek'Sai,12,5,0
Rek'Sai,13,5,0
Rek'Sai,14,6,0
Rek'Sai,15,10,0
Rek'Sai,16,0,6
Rek'Sai,17,0,2
Rek'Sai,18,0,9
Rek'Sai,19,0,6
Rell,0,0,14
Rell,1,0,8
Rell,2,0,7
Rell,3,0,4
Rell,4,0,5
Rell,5,0,2
Rell,6,4,0
Rell,7,5,0
Rell,8,23,0
Rell,9,23,0
Rell,10,5,0
Rell,11,11,0
Rell,12,36,0
Rell,13,36,0
Rell,14,11,0
Rell,15,34,0
Rell,16,0,34
Rell,17,0,21
Rell,18,0,42
Rell,19,0,39
Renata Glasc,0,0,1
Renata Glasc,1,0,1
Renata Glasc,2,0,1
Renata Glasc,4,0,1
Renata Glasc,6,1,0
Renata Glasc,7,1,0
Renata Glasc,8,3,0
Renata Glasc,9,3,0
Renata Glasc,10,1,0
Renata Glasc,11,3,0
Renata Glasc,12,12,0
Renata Glasc,13,12,0
Renata Glasc,14,3,0
Renata Glasc,15,10,0
Renata Glasc,16,0,9
Renata Glasc,17,0,14
Renata Glasc,18,0,7
Renata Glasc,19,0,11
Renekton,0,0,10
Renekton,1,0,10
Renekton,2,0,22
Renekton,3,0,10
Renekton,4,0,37
Renekton,5,0,44
Renekton,6,29,0
Renekton,7,33,0
Renekton,8,31,0
Renekton,9,31,0
Renekton,10,33,0
Renekton,11,31,0
Renekton,12,67,0
Renekton,13,67,0
Renekton,14,31,0
Renekton,15,65,0
Renekton,16,0,76
Renekton,17,0,79
Renekton,18,0,57
Renekton,19,0,74
Rumble,0,0,248
Rumble,1,0,324
Rumble,2,0,203
Rumble,3,0,217
Rumble,4,0,137
Rumble,5,0,185
Rumble,6,232,0
Rumble,7,205,0
Rumble,8,34,0
Rumble,9,34,0
Rumble,10,205,0
Rumble,11,41,0
Rumble,12,45,0
Rumble,13,45,0
Rumble,14,41,0
Rumble,15,34,0
Rumble,16,0,18
Rumble,17,0,32
Rumble,18,0,24
Rumble,19,0,31
Ryze,0,0,98
Ryze,1,0,92
Ryze,2,0,127
Ryze,3,0,168
Ryze,4,0,125
Ryze,5,0,168
Ryze,6,265,0
Ryze,7,197,0
Ryze,8,64,0
Ryze,9,64,0
Ryze,10,197,0
Ryze,11,54,0
Ryze,12,84,0
Ryze,13,84,0
Ryze,14,54,0
Ryze,15,77,0
Ryze,16,0,42
Ryze,17,0,51
Ryze,18,0,38
Ryze,19,0,43
Sejuani,0,0,1
Sejuani,2,0,4
Sejuani,3,0,3
Sejuani,4,0,3
Sejuani,5,0,2
Sejuani,6,2,0
Sejuani,7,8,0
Sejuani,8,17,0
Sejuani,9,17,0
Sejuani,10,8,0
Sejuani,11,9,0
Sejuani,12,8,0
Sejuani,13,8,0
Sejuani,14,9,0
Sejuani,15,6,0
Sejuani,16,0,5
Sejuani,17,0,5
Sejuani,18,0,9
Sejuani,19,0,4
Senna,0,0,1
Senna,1,0,2
Senna,2,0,1
Senna,3,0,2
Senna,4,0,1
Senna,6,1,0
Senna,8,8,0
Senna,9,8,0
Senna,11,4,0
Senna,12,10,0
Senna,13,10,0
Senna,14,4,0
Senna,15,10,0
Senna,16,0,1
Senna,17,0,5
Senna,18,0,6
Senna,19,0,2
Seraphine,0,0,35
Seraphine,1,0,43
Seraphine,2,0,63
Seraphine,3,0,77
Seraphine,4,0,70
Seraphine,5,0,66
Seraphine,6,60,0
Seraphine,7,71,0
Seraphine,8,89,0
Seraphine,9,89,0
Seraphine,10,71,0
Seraphine,11,73,0
Seraphine,12,107,0
Seraphine,13,107,0
Seraphine,14,73,0
Seraphine,15,74,0
Seraphine,16,0,26
Seraphine,17,0,21
Seraphine,18,0,12
Seraphine,19,0,14
Shen,0,0,6
Shen,1,0,6
Shen,2,0,3
Shen,3,0,3
Shen,4,0,3
Shen,5,0,4
Shen,6,1,0
Shen,7,4,0
Shen,8,3,0
Shen,9,3,0
Shen,10,4,0
Shen,11,2,0
Shen,12,6,0
Shen,13,6,0
Shen,14,2,0
Shen,15,2,0
Shen,16,0,9
Shen,17,0,5
Shen,18,0,7
Shen,19,0,5
Sion,0,0,42
Sion,1,0,28
Sion,2,0,20
Sion,3,0,31
Sion,4,0,45
Sion,5,0,39
Sion,6,50,0
Sion,7,42,0
Sion,8,27,0
Sion,9,27,0
Sion,10,42,0
Sion,11,45,0
Sion,12,91,0
Sion,13,91,0
Sion,14,45,0
Sion,15,71,0
Sion,16,0,75
Sion,17,0,76
Sion,18,0,86
Sion,19,0,59
Sivir,0,0,2
Sivir,1,0,4
Sivir,2,0,10
Sivir,3,0,6
Sivir,4,0,14
Sivir,5,0,9
Sivir,6,11,0
Sivir,7,31,0
Sivir,8,49,0
Sivir,9,49,0
Sivir,10,31,0
Sivir,11,90,0
Sivir,12,70,0
Sivir,13,70,0
Sivir,14,90,0
Sivir,15,89,0
Sivir,16,0,56
Sivir,17,0,67
Sivir,18,0,55
Sivir,19,0,59
Skarner,0,0,15
Skarner,1,0,8
Skarner,2,0,6
Skarner,3,0,3
Skarner,4,0,11
Skarner,5,0,8
Skarner,6,6,0
Skarner,7,11,0
Skarner,8,31,0
Skarner,9,31,0
Skarner,10,11,0
Skarner,11,25,0
Skarner,12,31,0
Skarner,13,31,0
Skarner,14,25,0
Skarner,15,24,0
Skarner,16,0,19
Skarner,17,0,28
Skarner,18,0,26
Skarner,19,0,18
Smolder,1,0,2
Smolder,2,0,3
Smolder,3,0,9
Smolder,4,0,7
Smolder,5,0,6
Smolder,6,6,0
Smolder,7,8,0
Smolder,8,3,0
Smolder,9,3,0
Smolder,10,8,0
Smolder,11,6,0
Smolder,12,10,0
Smolder,13,10,0
Smolder,14,6,0
Smolder,15,7,0
Smolder,16,0,8
Smolder,17,0,5
Smolder,18,0,9
Smolder,19,0,5
Swain,0,0,2
Swain,1,0,3
Swain,5,0,1
Swain,8,1,0
Swain,9,1,0
Swain,11,1,0
Swain,14,1,0
Swain,15,1,0
Swain,17,0,3
Swain,18,0,1
Swain,19,0,1
Sylas,0,0,6
Sylas,1,0,8
Sylas,2,0,14
Sylas,3,0,16
Sylas,4,0,25
Sylas,5,0,23
Sylas,7,3,0
Sylas,8,8,0
Sylas,9,8,0
Sylas,10,3,0
Sylas,11,10,0
Sylas,12,10,0
Sylas,13,10,0
Sylas,14,10,0
Sylas,15,15,0
Sylas,16,0,38
Sylas,17,0,35
Sylas,18,0,36
Sylas,19,0,40
Syndra,0,0,21
Syndra,1,0,11
Syndra,2,0,25
Syndra,3,0,16
Syndra,4,0,21
Syndra,5,0,18
Syndra,6,13,0
Syndra,7,30,0
Syndra,8,19,0
Syndra,9,19,0
Syndra,10,30,0
Syndra,11,17,0
Syndra,12,25,0
Syndra,13,25,0
Syndra,14,17,0
Syndra,15,34,0
Syndra,16,0,48
Syndra,17,0,54
Syndra,18,0,74
Syndra,19,0,42
Taliyah,0,0,17
Taliyah,1,0,16
Taliyah,2,0,16
Taliyah,3,0,12
Taliyah,4,0,26
Taliyah,5,0,22
Taliyah,6,46,0
Taliyah,7,44,0
Taliyah,8,32,0
Taliyah,9,32,0
Taliyah,10,44,0
Taliyah,11,30,0
Taliyah,12,67,0
Taliyah,13,67,0
Taliyah,14,30,0
Taliyah,15,65,0
Taliyah,16,0,52
Taliyah,17,0,43
Taliyah,18,0,44
Taliyah,19,0,44
Thresh,2,0,1
Thresh,4,0,1
Thresh,6,1,0
Thresh,8,4,0
Thresh,9,4,0
Thresh,11,8,0
Thresh,12,32,0
Thresh,13,32,0
Thresh,14,8,0
Thresh,15,22,0
Thresh,16,0,11
Thresh,17,0,17
Thresh,18,0,6
Thresh,19,0,8
Tristana,0,0,2
Tristana,1,0,2
Tristana,2,0,2
Tristana,4,0,4
Tristana,5,0,3
Tristana,7,6,0
Tristana,8,6,0
Tristana,9,6,0
Tristana,10,6,0
Tristana,11,11,0
Tristana,12,6,0
Tristana,13,6,0
Tristana,14,11,0
Tristana,15,7,0
Tristana,16,0,6
Tristana,17,0,8
Tristana,18,0,11
Tristana,19,0,8
Trundle,0,0,2
Trundle,1,0,1
Trundle,2,0,3
Trundle,3,0,6
Trundle,4,0,10
Trundle,5,0,9
Trundle,6,3,0
Trundle,7,6,0
Trundle,8,20,0
Trundle,9,20,0
Trundle,10,6,0
Trundle,11,32,0
Trundle,12,21,0
Trundle,13,21,0
Trundle,14,32,0
Trundle,15,19,0
Trundle,16,0,21
Trundle,17,0,13
Trundle,18,0,22
Trundle,19,0,23
Twisted Fate,1,0,5
Twisted Fate,2,0,5
Twisted Fate,3,0,4
Twisted Fate,4,0,3
Twisted Fate,5,0,4
Twisted Fate,6,2,0
Twisted Fate,7,4,0
Twisted Fate,8,2,0
Twisted Fate,9,2,0
Twisted Fate,10,4,0
Twisted Fate,11,2,0
Twisted Fate,12,12,0
Twisted Fate,13,12,0
Twisted Fate,14,2,0
Twisted Fate,15,16,0
Twisted Fate,16,0,16
Twisted Fate,17,0,21
Twisted Fate,18,0,30
Twisted Fate,19,0,21
Varus,0,0,305
Varus,1,0,322
Varus,2,0,262
Varus,3,0,250
Varus,4,0,221
Varus,5,0,224
Varus,6,216,0
Varus,7,142,0
Varus,8,61,0
Varus,9,61,0
Varus,10,142,0
Varus,11,69,0
Varus,12,47,0
Varus,13,47,0
Varus,14,69,0
Varus,15,29,0
Varus,16,0,33
Varus,17,0,33
Varus,18,0,15
Varus,19,0,31
Vayne,0,0,2
Vayne,2,0,6
Vayne,3,0,8
Vayne,4,0,5
Vayne,5,0,7
Vayne,6,1,0
Vayne,7,2,0
Vayne,8,1,0
Vayne,9,1,0
Vayne,10,2,0
Vayne,11,6,0
Vayne,12,7,0
Vayne,13,7,0
Vayne,14,6,0
Vayne,15,6,0
Vayne,16,0,42
Vayne,17,0,71
Vayne,18,0,48
Vayne,19,0,61
Vi,0,0,82
Vi,1,0,83
Vi,2,0,114
Vi,3,0,115
Vi,4,0,122
Vi,5,0,113
Vi,6,100,0
Vi,7,108,0
Vi,8,173,0
Vi,9,173,0
Vi,10,108,0
Vi,11,145,0
Vi,12,53,0
Vi,13,53,0
Vi,14,145,0
Vi,15,48,0
Vi,16,0,68
Vi,17,0,60
Vi,18,0,60
Vi,19,0,59
Viego,0,0,11
Viego,1,0,11
Viego,2,0,4
Viego,3,0,8
Viego,4,0,5
Viego,5,0,4
Viego,6,1,0
Viego,7,4,0
Viego,8,17,0
Viego,9,17,0
Viego,10,4,0
Viego,11,6,0
Viego,12,3,0
Viego,13,3,0
Viego,14,6,0
Viego,15,5,0
Viego,16,0,3
Viego,17,0,10
Viego,18,0,2
Viego,19,0,4
Viktor,0,0,4
Viktor,1,0,8
Viktor,2,0,11
Viktor,3,0,10
Viktor,4,0,12
Viktor,5,0,2
Viktor,6,21,0
Viktor,7,22,0
Viktor,8,12,0
Viktor,9,12,0
Viktor,10,22,0
Viktor,11,12,0
Viktor,12,32,0
Viktor,13,32,0
Viktor,14,12,0
Viktor,15,36,0
Viktor,16,0,41
Viktor,17,0,29
Viktor,18,0,73
Viktor,19,0,47
Volibear,0,0,1
Volibear,1,0,5
Volibear,2,0,2
Volibear,3,0,1
Volibear,4,0,3
Volibear,5,0,1
Volibear,6,2,0
Volibear,7,4,0
Volibear,8,2,0
Volibear,9,2,0
Volibear,10,4,0
Volibear,11,4,0
Volibear,12,3,0
Volibear,13,3,0
Volibear,14,4,0
Volibear,15,4,0
Volibear,16,0,5
Volibear,17,0,4
Volibear,18,0,2
Volibear,19,0,3
Wukong,0,0,10
Wukong,1,0,6
Wukong,2,0,16
Wukong,3,0,18
Wukong,4,0,33
Wukong,5,0,40
Wukong,6,51,0
Wukong,7,71,0
Wukong,8,131,0
Wukong,9,131,0
Wukong,10,71,0
Wukong,11,136,0
Wukong,12,65,0
Wukong,13,65,0
Wukong,14,136,0
Wukong,15,68,0
Wukong,16,0,60
Wukong,17,0,74
Wukong,18,0,61
Wukong,19,0,66
Xayah,2,0,1
Xayah,4,0,3
Xayah,5,0,2
Xayah,6,4,0
Xayah,7,5,0
Xayah,8,12,0
Xayah,9,12,0
Xayah,10,5,0
Xayah,11,33,0
Xayah,12,11,0
Xayah,13,11,0
Xayah,14,33,0
Xayah,15,20,0
Xayah,16,0,23
Xayah,17,0,23
Xayah,18,0,20
Xayah,19,0,20
Xin Zhao,0,0,15
Xin Zhao,1,0,23
Xin Zhao,2,0,32
Xin Zhao,3,0,38
Xin Zhao,4,0,55
Xin Zhao,5,0,50
Xin Zhao,6,127,0
Xin Zhao,7,122,0
Xin Zhao,8,216,0
Xin Zhao,9,216,0
Xin Zhao,10,122,0
Xin Zhao,11,217,0
Xin Zhao,12,79,0
Xin Zhao,13,79,0
Xin Zhao,14,217,0
Xin Zhao,15,79,0
Xin Zhao,16,0,63
Xin Zhao,17,0,69
Xin Zhao,18,0,47
Xin Zhao,19,0,62
Yasuo,0,0,16
Yasuo,1,0,17
Yasuo,2,0,7
Yasuo,3,0,9
Yasuo,4,0,9
Yasuo,5,0,8
Yasuo,6,1,0
Yasuo,7,2,0
Yasuo,8,1,0
Yasuo,9,1,0
Yasuo,10,2,0
Yasuo,11,2,0
Yasuo,12,3,0
Yasuo,13,3,0
Yasuo,14,2,0
Yasuo,15,7,0
Yasuo,16,0,4
Yasuo,17,0,6
Yasuo,18,0,3
Yasuo,19,0,3
Yone,0,0,7
Yone,1,0,2
Yone,2,0,14
Yone,3,0,14
Yone,4,0,17
Yone,5,0,18
Yone,6,10,0
Yone,7,9,0
Yone,8,9,0
Yone,9,9,0
Yone,10,9,0
Yone,11,5,0
Yone,12,25,0
Yone,13,25,0
Yone,14,5,0
Yone,15,22,0
Yone,16,0,23
Yone,17,0,19
Yone,18,0,19
Yone,19,0,15
Yorick,0,0,2
Yorick,1,0,3
Yorick,2,0,2
Yorick,3,0,5
Yorick,4,0,4
Yorick,5,0,6
Yorick,6,1,0
Yorick,7,5,0
Yorick,8,8,0
Yorick,9,8,0
Yorick,10,5,0
Yorick,11,8,0
Yorick,12,20,0
Yorick,13,20,0
Yorick,14,8,0
Yorick,15,24,0
Yorick,16,0,47
Yorick,17,0,32
Yorick,18,0,33
Yorick,19,0,42
Yunara,0,0,32
Yunara,1,0,34
Yunara,2,0,70
Yunara,3,0,62
Yunara,4,0,59
Yunara,5,0,56
Yunara,6,180,0
Yunara,7,177,0
Yunara,8,180,0
Yunara,9,180,0
Yunara,10,177,0
Yunara,11,149,0
Yunara,12,58,0
Yunara,13,58,0
Yunara,14,149,0
Yunara,15,61,0
Yunara,16,0,31
Yunara,17,0,27
Yunara,18,0,31
Yunara,19,0,37
Yuumi,2,0,2
Yuumi,3,0,3
Yuumi,4,0,2
Yuumi,6,1,0
Yuumi,8,1,0
Yuumi,9,1,0
Yuumi,11,4,0
Yuumi,12,14,0
Yuumi,13,14,0
Yuumi,14,4,0
Yuumi,15,5,0
Yuumi,16,0,1
Yuumi,17,0,1
Yuumi,18,0,2
Yuumi,19,0,1
Zaahen,0,0,17
Zaahen,1,0,15
Zaahen,2,0,24
Zaahen,3,0,31
Zaahen,4,0,20
Zaahen,5,0,7
Zaahen,6,27,0
Zaahen,7,32,0
Zaahen,8,33,0
Zaahen,9,33,0
Zaahen,10,32,0
Zaahen,11,41,0
Zaahen,12,36,0
Zaahen,13,36,0
Zaahen,14,41,0
Zaahen,15,29,0
Zaahen,16,0,21
Zaahen,17,0,15
Zaahen,18,0,33
Zaahen,19,0,36
Zeri,0,0,1
Zeri,4,0,1
Zeri,6,7,0
Zeri,7,1,0
Zeri,8,10,0
Zeri,9,10,0
Zeri,10,1,0
Zeri,11,9,0
Zeri,12,3,0
Zeri,13,3,0
Zeri,14,9,0
Zeri,15,6,0
Zeri,16,0,6
Zeri,17,0,1
Zeri,18,0,6
Zeri,19,0,9
Ziggs,0,0,9
Ziggs,1,0,26
Ziggs,2,0,3
Ziggs,3,0,7
Ziggs,4,0,10
Ziggs,5,0,9
Ziggs,6,4,0
Ziggs,7,2,0
Ziggs,8,17,0
Ziggs,9,17,0
Ziggs,10,2,0
Ziggs,11,5,0
Ziggs,12,13,0
Ziggs,13,13,0
Ziggs,14,5,0
Ziggs,15,12,0
Ziggs,16,0,16
Ziggs,17,0,9
Ziggs,18,0,12
Ziggs,19,0,15
Zoe,0,0,19
Zoe,1,0,17
Zoe,2,0,4
Zoe,3,0,7
Zoe,4,0,5
Zoe,5,0,12
Zoe,7,4,0
Zoe,8,1,0
Zoe,9,1,0
Zoe,10,4,0
Zoe,11,4,0
Zoe,12,4,0
Zoe,13,4,0
Zoe,14,4,0
Zoe,15,8,0
Zoe,16,0,10
Zoe,17,0,12
Zoe,18,0,10
Zoe,19,0,12
Zyra,0,0,6
Zyra,1,0,2
Zyra,2,0,5
Zyra,3,0,2
Zyra,4,0,2
Zyra,5,0,1
Zyra,6,1,0
Zyra,7,1,0
Zyra,8,1,0
Zyra,9,1,0
Zyra,10,1,0
Zyra,11,7,0
Zyra,12,3,0
Zyra,13,3,0
Zyra,14,7,0
Zyra,15,1,0
Zyra,16,0,1
Zyra,17,0,1
Zyra,18,0,1
