mid\sup,Nautilus,Lulu,Bard,Nami,Neeko,Karma,Seraphine,Rakan,Alistar,Rell,Leona,Milio,Braum,Thresh,Renata Glasc,Pyke,Poppy,Anivia,Yuumi,Blitzcrank,Elise,Lux,Shen
Ryze,-0.1097,-0.4161,-0.0650,+0.0521,+0.0455,+0.1169,-0.2809,-0.1727,-0.4309,-0.2502,-0.3339,-0.3764,-0.3446,-0.2526,-0.3048,-0.2448,+0.0213,-0.2043,-0.6684,-0.0902,-0.1755,-0.3270,-0.1670
Ahri,-0.1197,-0.1059,-0.1967,-0.1201,+0.1380,-0.1308,-0.5410,+0.3371,-0.0648,-0.0255,+0.1377,-0.1347,-0.4427,+0.3889,+0.3044,-0.3131,+0.1450,-0.3887,-0.1352,-0.1153,-0.5659,-0.3659,+0.1091
Aurora,-0.1735,-0.3273,-0.1780,+0.0402,+0.0772,-0.1282,-0.0831,-0.2827,-0.1140,+0.2162,+0.1183,-0.0525,-0.4857,+0.0874,-0.1526,-0.0106,-0.0152,-0.2853,-0.1790,-0.1712,-0.4755,-0.3202,+0.0054
Azir,-0.2483,-0.1429,-0.2446,-0.0037,-0.0238,-0.1965,-0.7093,-0.4202,-0.0939,+0.0683,-0.2859,-0.4553,-0.4365,-0.0795,+0.0873,-0.1035,+0.0051,+0.2220,-0.6286,-0.0466,-0.3621,-0.0331,-0.0712
Orianna,-0.2131,-0.3615,-0.1583,+0.0858,+0.1542,+0.0692,-0.3161,+0.4374,-0.0725,+0.1747,-0.1525,-0.3922,-0.4322,-0.3672,-0.2146,-0.2350,+0.0304,-0.2550,-0.7056,-0.4017,-0.4622,-0.3820,-0.0301
Viktor,+0.3165,-0.1432,-0.1207,+0.0092,-0.1938,+0.0338,-0.0122,+0.4144,+0.1898,+0.2760,-0.0029,-0.2306,+0.0501,+0.0171,+0.0340,-0.0144,-0.0244,-0.1703,-0.0233,+0.1227,+0.0408,-0.0605,-0.0163
Taliyah,+0.1302,-0.1026,-0.2219,-0.0349,-0.2308,-0.5266,-0.0336,-0.2531,+0.0160,-0.0519,+0.1389,-0.1655,-0.3603,+0.2605,-0.6257,-0.1799,-0.2806,-0.2321,-0.0920,-0.2418,-0.4284,-0.2444,+0.0375
Akali,+0.1734,-0.5097,-0.2293,-0.1603,+0.2327,-0.1553,-0.2497,+0.1879,+0.0929,+0.3153,+0.0183,+0.0266,-0.0773,-0.2015,-0.3026,-0.0070,+0.0487,-0.1245,-0.1033,+0.0400,-0.1176,-0.2410,+0.0511
Annie,-0.2164,-0.3750,-0.1653,+0.0270,+0.1659,-0.3119,-0.3058,+0.0537,-0.0961,-0.3180,-0.2704,+0.0690,-0.2727,-0.1580,+0.3998,+0.1032,+0.2657,-0.0674,-0.5114,-0.1867,+0.1787,-0.0242,-0.0688
Syndra,+0.3075,-0.1297,+0.1101,-0.0865,-0.2256,+0.2150,-0.1700,+0.3418,+0.3204,+0.2996,+0.2013,-0.3630,-0.0095,-0.0035,-0.3549,+0.0609,+0.1359,+0.0683,-0.0363,+0.3377,-0.0763,+0.1119,-0.0758
Galio,-0.2973,-0.1057,-0.0884,-0.0415,+0.3698,-0.0622,-0.7364,+0.6509,-0.0171,-0.0997,+0.6424,+0.1204,-0.2651,+0.2879,+0.6802,-0.1326,+0.2824,-0.2283,+0.0608,-0.2449,-0.1780,-0.0832,-0.0170
Anivia,-0.0223,+0.3238,+0.2825,+0.2719,+0.1402,-0.1679,-0.2417,-0.2314,+0.3411,+0.0520,-0.0544,+0.1425,+0.1023,-0.3066,+0.0457,-0.0341,-0.0713,+0.8983,+0.2287,+0.0802,+0.0019,+0.3366,+0.0197
Cassiopeia,-0.1255,-0.0899,+0.2603,-0.1762,-0.1653,-0.0712,-0.4033,-0.0514,+0.0222,-0.2010,-0.0721,-0.2260,-0.1310,+0.2494,+0.0341,-0.0106,+0.3114,-0.0688,+0.0783,-0.1172,+0.2618,+0.6235,-0.1497
Yone,+0.2443,-0.4799,-0.4753,-0.8758,-0.1220,-0.6775,-0.2247,-0.1802,-0.0144,+0.6219,-0.2637,-0.3391,-0.0650,-0.2039,-0.1159,+0.2410,+0.2424,+0.1070,-0.2261,+0.6925,+0.3173,-0.3728,+0.2512
LeBlanc,+0.1582,+0.1597,+0.0370,-0.0765,-0.3781,-0.0504,-0.2498,+0.7941,-0.0488,+0.1612,+0.0826,-0.2680,+0.1550,+0.2642,+0.1901,+0.0505,+0.3715,-0.1846,+0.0811,+0.0794,-0.0450,+0.0493,+0.0404
Mel,+0.0345,+0.0176,-0.0816,+0.1644,+0.0891,-0.1171,-0.2966,+0.0273,+0.0131,+0.1677,-0.2552,+0.3016,+0.0734,+0.2202,+0.3321,+0.2244,+0.1841,+0.1903,+0.4319,+0.0256,+0.2726,+0.3693,-0.0098
Sylas,-0.1126,-0.0008,-0.2128,-0.0361,-0.0784,-0.0551,+0.0795,+0.5889,+0.2891,+0.3158,+0.4473,-0.4062,-0.0659,-0.0972,-0.0274,+0.1916,+0.1861,+0.0523,-0.1543,+0.4555,-0.1670,+0.0830,+0.0680
Hwei,+0.0536,-0.3868,+0.1604,-0.3101,-0.2349,-0.0152,-0.3359,+0.4102,-0.0379,+0.0054,+0.1220,-0.4408,-0.2943,-0.1065,+0.1696,-0.1766,+0.1501,+0.0332,-0.4204,+0.0941,-0.1443,-0.0848,+0.1899
Twisted Fate,-0.2172,-0.0502,-0.0330,+0.1917,+0.2425,-0.1941,-0.3639,-0.2704,+0.0472,-0.1595,-0.0937,+0.5270,-0.1124,+0.0502,+0.1033,+0.3724,+0.1576,+0.0936,+0.1029,-0.0113,+0.3877,+0.2759,+0.0983
Zoe,-0.1431,-0.5380,-0.2613,+0.1095,+0.0084,-0.3761,-0.1711,-0.1287,-0.1385,-0.0439,+0.0971,+0.1639,-0.2732,+0.0304,+0.4868,+0.0295,+0.2450,-0.1807,-0.1115,+0.1688,+0.1606,-0.0113,+0.2040
Lissandra,+0.3283,-0.6923,-0.2160,-0.3749,+0.0414,-0.1794,-0.4788,+0.2682,-0.0074,+0.1850,-0.0555,-0.2521,-0.3123,+0.0506,+0.1191,+0.1574,+0.2775,-0.2877,+0.0528,-0.0645,-0.1021,-0.0789,+0.1344
Aurelion Sol,-0.3266,-0.1316,-0.3334,-0.1974,-0.3088,-0.1443,-0.6387,+0.3158,-0.0479,-0.1533,-0.0467,+0.5166,+0.0810,+0.3654,+0.6590,+0.1314,+0.2001,-0.1402,+0.2403,-0.0130,-0.0930,+0.0665,+0.1147
Jayce,+0.1142,-0.3350,-0.0348,-0.3782,-0.3669,-0.2268,-0.1542,-0.4297,-0.2319,-0.2348,-0.3429,-0.1388,-0.1533,+0.2585,+0.2372,+0.2548,+0.1850,-0.1130,-0.1983,+0.2180,+0.3657,+0.2404,-0.0179
Ziggs,+0.4903,+0.0019,-0.2594,-0.7490,-0.5728,-0.3010,-0.4159,-0.0168,+0.0586,+0.2116,-0.0728,-0.1622,-0.0473,+0.4239,+0.3305,+0.5464,+0.2754,-0.3527,+0.1749,+0.3209,-0.1348,+0.1095,+0.1234
Yasuo,+0.0877,-0.1000,+0.0140,-0.2804,-0.1338,-0.0218,-0.6312,+0.0958,+0.0220,+0.1532,+0.0491,-0.3026,-0.2692,-0.0958,+0.0629,-0.0516,+0.1237,-0.0774,+0.2564,+0.2699,+0.0432,-0.0148,+0.3246
Swain,+0.2276,-0.1317,-0.3883,-0.1343,-0.0634,-0.3387,-0.5505,+0.0312,+0.1889,+0.3461,-0.0432,-0.2128,-0.1223,+0.0424,+0.1196,+0.1846,+0.2227,+0.0301,-0.0762,+0.3582,-0.0995,-0.1107,+0.0033
Sion,-0.2060,-0.1250,-0.1702,-0.0874,-0.2038,-0.3682,-0.0197,+0.1758,-0.1114,+0.0117,+0.1522,-0.0425,-0.2176,+0.2690,+0.4598,+0.0179,+0.2122,+0.0394,-0.1530,+0.1738,-0.0320,+0.3000,+0.0597
